;   HexBolt.DAT Ref. p.11a-7
;d1   H  B    D   s  Lmin Lmax
(3    2  5.5 5.3  12   5  22  )
(4  2.8  7   6.8  14   6  40  )
(5  3.5  8   7.8  16   7  50  )
(6  4   10   9.8  18   7  70  )
(8   5.5 13 12.6  22  11  100 )
(10   7  17 16.5  26  14  100 )
(12   8  19 18    30  18  140 )
(16  10  24 23    38  22  140 )
(20  13  30 29    46  28  200 )
(24  15  36 34    54  30  220 )
(30  19  46 44    66  40  240 )
(36  23  55 53    78  50  240 )
(42  26  65 62    90  55  325 )
(48  30  75 72   102  60  325 )
(56  35  85 82   124 130  400 )
(64  40  95 92   140 132  400 )

